filename,status,num_records,total_chars,thin_chunks,table_ratio,file_bytes,issues,preview
2023-Manual-KeNHA-RDM-3_1-Ground-Investigations.json,EMPTY,0,0,32,0.00,3965880,Has 32 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-3_4-Flexible-Pavement-Design.json,EMPTY,0,0,88,0.00,9546063,Has 88 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-3_5-Rigid-Pavement-Design.json,EMPTY,0,0,63,0.00,7156098,Has 63 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-4_2-Bridge-Culvert-Design.json,EMPTY,0,0,223,0.00,27978712,Has 223 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-5_1-Pavement-Condition-Survey.json,EMPTY,0,0,95,0.00,8652313,Has 95 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Manual-KeNHA-RDM-5_2-Pavement-Maintenance.json,EMPTY,0,0,131,0.00,17545797,Has 131 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Policy-Repeal-Bill.json,EMPTY,0,0,0,0.00,13440,All records extracted to empty text,
2023-Regulations-KNEC-Validation-Copy.json,EMPTY,0,0,6,0.00,87952,Has 6 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Statistics-EPRA.json,EMPTY,0,0,24,0.00,2443150,Has 24 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-National-Broadband-Strategy.json,EMPTY,0,0,77,0.00,5493394,Has 77 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-Plan-KURA-August2024.json,EMPTY,0,0,88,0.00,11084886,Has 88 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-Plan-KeRRA.json,EMPTY,0,0,37,0.00,5678507,Has 37 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
