agent,original_filename,filepath,size_kb,flags
Agriculture,National-Agriculture-Production-Report-2025.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Agriculture-Production-Report-2025.pdf,7405.2,
Agriculture,National-Irrigation-Authority-2022_2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Irrigation-Authority-2022_2023.pdf,28286.3,
Agriculture,National-Livestock-Agenda-Jan-30_01_2026-Final.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National-Livestock-Agenda-Jan-30_01_2026-Final.pdf,7085.2,
Agriculture,National_DEW_Bulletin_January_202620260217011002.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National_DEW_Bulletin_January_202620260217011002.pdf,889.4,
Agriculture,National_Drought_Early_Warning_Bulletin_August_202520250922094134.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/National_Drought_Early_Warning_Bulletin_August_202520250922094134.pdf,526.3,
Agriculture,OND_2025_Seasonal_Weather_Forecast.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/OND_2025_Seasonal_Weather_Forecast.pdf,1786.2,
Agriculture,Public-Consultation-Documents-on-the-Draft-Seeds-and-Plant-Varieties.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Public-Consultation-Documents-on-the-Draft-Seeds-and-Plant-Varieties.pdf,93.1,
Agriculture,Pyrethrum-Repeal-Bill-2023-July-.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Pyrethrum-Repeal-Bill-2023-July-.pdf,169.9,
Agriculture,Q4-BULLETIN-25-FINALEagricultureandfoodauth.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Q4-BULLETIN-25-FINALEagricultureandfoodauth.pdf,15713.6,
Agriculture,Regulatory-Impact-Assessment-RIA-2022-EDITED-18032022.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Regulatory-Impact-Assessment-RIA-2022-EDITED-18032022.pdf,2390.2,
Agriculture,Roots-and-Tuber-Crops-Strategy-2019-2022-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Roots-and-Tuber-Crops-Strategy-2019-2022-1.pdf,2731.3,
